id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5246678093269827,QjAjfdID9,1496814565,封面新闻,#海底捞小便事件详情披露#【#海底捞小便事件家长赔偿220万元#】人民法院报12月22日发布《孩子餐厅“撒野”，家长被判赔220万！》，其中提到：凌晨的火锅店包间内，两名17岁男生为寻求刺激往火锅里小便，还拍摄视频发到网上，一时间掀起巨大舆论风浪，让知名餐饮品牌海底捞陷入商誉危机。近日，上海市黄浦区人民法院审结了这起轰动一时的名誉权及财产损害赔偿纠纷案，判令两名未成年人及其监护人向海底捞公司公开赔礼道歉，监护人赔偿海底捞公司经济损失220万元。O网页链接L封面新闻的微博视频,,,,"海底捞小便事件详情披露,海底捞小便事件家长赔偿220万元",1614,2110,36961,2025-12-22 15:36,微博视频号,,"http://f.video.weibocdn.com/o0/lvCDUJRBlx08tXjiVohq010412008LDM0E010?ori=0&ps=1BVp4ysnknHVZu&Expires=1766826053&ssig=CRqVWzJWq7&KID=unistore,video",,,普通用户,超级会员,4
5246002116430601,QjiIXqYTn,1796087453,荔枝新闻,【#宁波卫健委回应小洛熙事件最新进展##小洛熙事件医疗事故鉴定仍在进行#】12月20日浙江宁波，荔枝新闻记者从“手术后离世女婴”小洛熙爸爸处获悉，家属已于昨日（19日）通过宁波市卫健委获取了完整的尸检报告。据家属公布的部分报告显示，“未检见冠状窦型房间隔缺损”，“符合因继发孔型房间隔缺损行修补术并发心力衰竭、呼吸功能衰竭而死。”12月20日下午17时许，宁波市卫健委工作人员回应荔枝新闻记者称，该尸检报告由医院、患儿家属、卫健委三方共同委托相关机构出具，目前尸检工作已结束，正在进行医疗事故鉴定后续程序，尸检报告将予以考量，后续将依据医疗事故鉴定结果对涉事责任医师作出处理。另据12月14日宁波市卫健委通报，12月12日，当地法院已受理患儿家属提出的诉讼。该委调查组已对发现的病历违规问题立案调查。涉事主刀医师陈某贤、麻醉科主任等相关责任人员被免职，院方多人被处分。#小洛熙父亲发声#L荔枝新闻的微博视频,,,,"宁波卫健委回应小洛熙事件最新进展,小洛熙事件医疗事故鉴定仍在进行,小洛熙父亲发声",949,3859,41657,2025-12-20 18:50,微博视频号,,"http://f.video.weibocdn.com/o0/N4EY2m4slx08tTVg0chq010412004xk10E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826053&ssig=l4HK%2BOMaHb&KID=unistore,video",,,普通用户,超级会员,3
5247683158871520,Qk0sjBdT2,7410510347,装看见,南博事发后，看到太多文物界的奇葩事了。陕西历史博物馆，6条唐代小金龙被盗，至今下落不明。（图1）那么珍贵的文物呀，说没就没了。故宫文博专家朱家溍，把一批紫檀花梨宫廷家具捐给避暑山庄。结果去接收的货车司机，半路把家具扔到路边，开着空车去承接私活，导致珍贵宫廷家具丢的丢，坏的坏。避暑山庄博物馆文保部副主任李海涛，利用职务之便，以“工艺品”“文物残件”等名义，调包窃取文物259件，卖出152件，获利300多万。等等等等。如果来场全国清查，又有多少文物被损坏，被丢失，被调换？它们都在谁的手上？每年拍卖会上的宝物，又有多少是从各博物馆流出去的？没人知道。很多时候，我们看到的只是光鲜外表，真正的内核究竟怎样，只有他们知道。连别人捐赠的文物，都能堂而皇之的拿去拍卖；连99%的西汉金兽都能掉漆，我们还能说什么呢？#视频百亿流量扶持计划##中长视频流量扶持计划##全网热点共创计划##官方通报南京博物院事件#,,,,"视频百亿流量扶持计划,中长视频流量扶持计划,全网热点共创计划,官方通报南京博物院事件",119,60,368,2025-12-25 10:10,,,"http://f.video.weibocdn.com/o0/N3DGtPeSlx08u1jrADpK01041200EahV0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826053&ssig=7EnKkDbIE%2B&KID=unistore,video",,,金V,超级会员,2
5247418376398533,QjTzfqQy9,6051610340,大雄突然出现,小洛熙事件的核心争议，直指手术室监控存储这一关键问题。没有存储回放功能的监控，如同没有记录的“行车记录仪”，让麻醉中的患者、等候在外的家属失去了最直接的客观证据支撑。法医强调“每句话都要有证据”，可当手术室内的过程缺乏可追溯的记录，主观描述的空间便会扩大，不仅容易引发医患纠纷，更可能加剧信任危机。即便有鉴定结论，客观证据的缺失也难免让家属存疑，甚至影响对司法的信任。虽无强制要求，但现状需改变。手术室安装可存储回放的监控，不是对医护的不信任，而是用制度守护公平，让每一台手术都有迹可循。这不仅是解决个案的需要，更是筑牢医疗信任的基石，希望相关强制规定早日出台！#小洛熙事件留给社会的遗产#L大雄突然出现的微博视频,,,,小洛熙事件留给社会的遗产,355,558,10457,2025-12-24 16:38,微博视频号,,"http://f.video.weibocdn.com/o0/J4B5XGw5lx08u0b4rEla010412052bQh0E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826053&ssig=S%2F%2F68UBWBA&KID=unistore,video",,,金V,超级会员,2
5247432569913982,QjTW8FB4W,5446857109,桃園初戀_YELLOW,#小洛熙事件留给社会的遗产#宁波卫健委发布了初步调查结果，认定医疗团队存在手术风险评估不足、操作失误、告知不及时、术后处置缺陷等多重过失，相关医生已被处理。目前，涉事主刀医师、麻醉科主任等已被免职，医院分管副院长撤职，党委书记被警告，院长记大过。但医疗过错程度与责任划分，仍待医疗事故技术鉴定定论。这些处理只是一个开始，绝不应该是事件的终点。孩子父亲表示，将择期公布完整尸检报告。在此，我们真正要追问的，是医生是否涉嫌夸大病情、诱导过度医疗？医疗决策的审慎红线，究竟在哪里？这家医院内部的病例讨论制度、手术审批流程，又在哪里？一个5个月大女婴的生命，换来了这样一份沉重的报告和一连串的疑问。小洛熙，她无法替自己说出手术台上的真相。今天，她的父母替她捧着这份报告，他们想要的，不仅仅是一个责任人的名字，更是一个清晰、彻底、经得起法律与时间检验的真相。只有把这个真相完全厘清，才能给悲痛欲绝的父母一个起码的公道，也堵住系统中每一个可能导致悲剧发生的漏洞。L桃園初戀_YELLOW的微博视频,,,,小洛熙事件留给社会的遗产,11,63,794,2025-12-24 17:34,iPhone客户端,,"http://f.video.weibocdn.com/o0/jwRhUwFXlx08u0dBrJgA01041207kx730E030.mp4?label=mp4_720p&template=720x1560.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826053&ssig=A63%2FN%2F3hz1&KID=unistore,video",,,金V,超级会员,1
5245708364154823,Qjb5ahqRh,2726979110,晓旋枫,我看到了小洛西妈妈发的这个报告，我简直是怒发冲冠，怒不可遏。怎么会有这么恶毒的医疗机构和白衣屠夫？这简直是白色屠宰场和白色魔鬼屠夫，根本就是低于空荡荡魔鬼在人间呀。这完全把医院的名声全部葬送至极，医院本是治病救人的地方，但是发生这么恶劣的事情，错误的报告错误的手术，杀害了婴幼儿的生命，这简直就是丧尽天良。这又让我想起了十多年前的走廊医生兰越峰事件，为了不与医院同流合污，不开具虚假报告，就被背负上骂名就被耻笑为医学的背叛者。如果清白者却被魔鬼嘲笑成小丑，那简直就是魔鬼的原罪。如果医院只一味为了创收，不尊重人的性命了，不敬爱生命了，随便就能开具虚假报告，做虚假手术。那就是人类的灾难，这根本就是反人类罪。魔鬼的行径终将会受到惩罚，不以为自己有什么权利，有什么靠山就不受惩罚了上天会惩罚的上天会让魔鬼现世报的。奉劝社会大众不要轻易相信所谓的一切生化影像指标，检查报告不等同于身体的现实，不等于是同实际的现实。都存在很多疏漏，即使是认真检查的情况下，如果不认真检查的情况下，出于利益的情况之下，那这个报告就很有问题甚至就魔鬼问题，甚至是人财两空谋财害命。小洛熙妈妈请一定要挺住，为了你女儿的公道一定要坚强@许洛熙妈妈【#小洛熙#】【#小洛熙事件患者不是试验品#】【#小洛熙真相只有一个3mm房缺#】,,,许洛熙妈妈,"小洛熙,小洛熙事件患者不是试验品,小洛熙真相 只有一个3mm房缺",32,25,245,2025-12-19 23:23,生生医学Android,"https://wx2.sinaimg.cn/large/a28a6626ly1i8gm4jx1j1j20wr1hsgs9.jpg,https://wx2.sinaimg.cn/large/a28a6626ly1i8gm4k9l4nj20wr1hggwq.jpg,https://wx4.sinaimg.cn/large/a28a6626ly1i8gm4kl1lxj20wr1hwdmz.jpg",,,,红V,超级会员,2
5243732023838455,QilFwg6yz,3266943013,央视网,【#白岩松谈马拉松护士被处分事件#】#处分之外对张水华能否有更好选择#？白岩松说：能跑马拉松的张水华被医院处分了。医院有医院的规定和处分的道理，但是我们可以换个角度去看看问题。今年全运会女子马拉松赛第一名的成绩是2小时30分20秒。而上个月张水华在常州的马拉松上创造了2小时30分38秒的自己最好成绩。这种草根的冠军已经不是业余爱好的问题了，如果经过更加专业和系统的训练，成绩是否还有可能提升？再换个角度，如果我是医院的院长，在处分之前或之后积极沟通，让她减少当护士的时间，而去医院的工会，在我们的医院正在由治疗中心向健康中心转型的过程中，让张水华成立面向公众的跑团，带动本院的医生、护士参与跑步，更重要的是带动整个福州的市民更多参加跑步，并且鼓励她去参赛，也带着爱跑步的福州人去参赛。这样，张水华就从患者的护士变成了市民的护士，由治疗的职业变成了以健康为中心的职业转变，也让医院能在健康中国的战略中发挥更大的健康推动作用，不知道会不会更好。L央视网的微博视频,,,,"白岩松谈马拉松护士被处分事件,处分之外对张水华能否有更好选择",234,903,1692,2025-12-14 12:30,微博视频号,,"http://locallimit.us.sinaimg.cn/o0/d7eHn9mxlx08tJVzAvzW01041200kcm70E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826053&ssig=mgAn5IumJQ&KID=unistore,video",,,普通用户,超级会员,4
5244024552162908,Qithl94FC,2615417307,凤凰网,【超长视频：#澳枪击案凶手作案以及被击毙瞬间曝光#，民众上前踢凶手】澳大利亚邦迪海滩当地时间12月14日发生枪击事件，目前已造成16人死亡。15日早间，新南威尔士州警察局长在发布会上说，两名枪手为父子关系，父亲50岁，持有10年枪支执照，在前一日与警方的交火中死亡。儿子24岁，伤势严重。网络流传出枪手作案及被击毙现场视频。#澳枪击事件现场10分钟视频曝光#L凤凰网的微博视频,,,,"澳枪击案凶手作案以及被击毙瞬间曝光,澳枪击事件现场10分钟视频曝光",5958,4540,49023,2025-12-15 07:52,微博视频号,,"http://f.video.weibocdn.com/o0/kKhAMnhilx08tLdBr15u01041204ulIb0E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826053&ssig=ZmfAJ26qPs&KID=unistore,video",,,蓝V,超级会员,2
5245591785571536,Qj838nnpu,7817519530,白月光柒柒柒,#马未都谈南京博物院事件#这件事的核查不能由博物馆来进行，涉事方应当回避，必须由公安部门立案侦查，才能得出公正的结果。#南博还欠公众一个有温度的答案#L白月光柒柒柒的微博视频,,,,"马未都谈南京博物院事件,南博还欠公众一个有温度的答案",239,121,1687,2025-12-19 15:40,微博视频号,,"http://f.video.weibocdn.com/o0/iCxOumHOlx08tS7h6zu001041200izHw0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826053&ssig=QSxnG2d%2FLb&KID=unistore,video",,,红V,超级会员,1
5245732361601078,QjbHS6IvQ,7051949804,一路为医,下水道关于#小洛熙#的文章有写到#小洛熙事件患者不是试验品#，也是基于房间隔缺损只有3mm，“#小洛熙真相只有一个3mm房缺#。但实际上缺损有两处，一处0.3，一处1.0，加起来实际有1.3，单考虑缺损还不够，还得让分析缺损部位，中央还是边缘。另外两处缺损，距离远近，远的修补就比较困难，边缘或近血管的就比较困难。另外有没有人注意到，自右心房注入清水，左心房未见清水流出，说明这个房间隔缺损的修补是成功的？手术时机也确实重要，5个🈷️不是禁忌，看到26天龄的也做心脏缺损修补了。能不能做的问题解决了，那么要不要做，是另一个层面的问题。毕竟症状的严重程度，没有看到官方调查报告去，另外也有媒体做了份小强，值得参考。O网页链接,,,,"小洛熙,小洛熙事件患者不是试验品,小洛熙真相 只有一个3mm房缺",38,344,1288,2025-12-20 00:58,,"https://wx4.sinaimg.cn/large/007HfghSly1i8gp552ak5j30qo17wn2m.jpg,https://wx4.sinaimg.cn/large/007HfghSly1i8gpfujqgwj30fwcmeb2a.jpg",,,,金V,超级会员,2
