id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5248242804596852,Qkf0YjhQM,7238475515,张颂文表演工作室,张颂文超话🎬恭喜@张颂文获得《中国新闻周刊》2025年度封面人物“年度影响力演员”殊荣。镜头内外，始终以作品丈量时代。这份认可，是肯定，更是前行的光。感谢所有支持，我们将继续用角色说话。L张颂文表演工作室的微博视频,,,张颂文,,982,666,6661,2025-12-26 23:14,张颂文超话,,"http://f.video.weibocdn.com/o0/47ewJ50Alx08u3MJE7x601041202IE8C0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826060&ssig=FUHvkPWD0E&KID=unistore,video",,,蓝V,超级会员,1
5247736875584678,Qk1QXnqPs,2457081180,金玟庭_TeamWinter,#金玟庭#❄️#金冬天#『251225』SBS歌谣大战WINTER新闻图没有新闻图不美的义务！资源:鱼可——ฅ՞•ﻌ•՞ฅ——𐂯——ฅ՞•ﻌ•՞ฅ——📷属于金旼炡的ins小世界👩‍❤️‍💋‍👩旼咚和ice的互动日常❄️【旼炡个人IG：imwinter】🩵【BLUE切🍉】：微博正文💵【RichMan直拍】：微博正文🎂【2026𝗕𝗶𝗿𝘁𝗵𝗱𝗮𝘆𝗦𝘂𝗽𝗽𝗼𝗿𝘁】：微博正文💌【新粉安利手册】：微博正文🌟【冬队招新公告】：微博正文❤️【拉夫劳伦地广】：微博正文,,,,"金玟庭,金冬天",180,72,1019,2025-12-25 13:43,金玟庭超话,"https://wx3.sinaimg.cn/large/9274155cgy1i8n3cud0agj20rs11o41t.jpg,https://wx3.sinaimg.cn/large/9274155cgy1i8n3cucunuj20jg0oumz5.jpg,https://wx3.sinaimg.cn/large/9274155cgy1i8n3f3ddqnj20zk1hcwnh.jpg,https://wx2.sinaimg.cn/large/9274155cgy1i8n3h9qdeaj20eq0lijsn.jpg,https://wx4.sinaimg.cn/large/9274155cgy1i8n3h9r33qj20jg0q176b.jpg,https://wx3.sinaimg.cn/large/9274155cgy1i8n3ha28f6j20jg0qzjtn.jpg,https://wx4.sinaimg.cn/large/9274155cgy1i8n3j8hj8fj20sg15jdkf.jpg,https://wx4.sinaimg.cn/large/9274155cgy1i8n3p03fc6j20rs15o79w.jpg,https://wx2.sinaimg.cn/large/9274155cgy1i8n3ha4hpmj20k00sytc5.jpg",,,,金V,超级会员,2
5247755673933840,Qk2lhgvn2,5397387741,老鬼的围脖,#aespacody#aespa年末SBS红毯新闻图好漂亮的吒！,,,,aespa cody,116,2090,12092,2025-12-25 14:58,aespa超话,"https://wx2.sinaimg.cn/large/005TgT6Zly1i8n5iqh2usj30zk1hdwq7.jpg,https://wx1.sinaimg.cn/large/005TgT6Zly1i8n5iqp4ijj30zk1hcwmy.jpg,https://wx2.sinaimg.cn/large/005TgT6Zly1i8n5iqxf1nj30p00zkn1e.jpg,https://wx1.sinaimg.cn/large/005TgT6Zly1i8n5ir7i82j30u0142gqy.jpg,https://wx1.sinaimg.cn/large/005TgT6Zly1i8n5is0n09j30rs15ogrf.jpg,https://wx1.sinaimg.cn/large/005TgT6Zly1i8n5ish98rj30i20q8diz.jpg,https://wx2.sinaimg.cn/large/005TgT6Zly1i8n5isrdgbj30k010kjxj.jpg,https://wx2.sinaimg.cn/large/005TgT6Zly1i8n5isy4whj30qo0zjdkl.jpg",,,,金V,超级会员,2
5247815605292674,Qk3TWmcRI,1788857141,鸭圣婆,#小洛熙爸爸讲述小洛熙事件全过程#光看“小圆头”三个字都觉得要哭了，不敢想象家长剪这段视频的时候有多心痛希望家长的诉求可以被看见，真相早日大白！！,,,,小洛熙爸爸讲述小洛熙事件全过程,17,42,766,2025-12-25 18:56,,,"http://f.video.weibocdn.com/o0/unPlRc2Ilx08u1U81CKI010412015YJC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826060&ssig=F1Z8gd8Ggx&KID=unistore,video",,,金V,超级会员,2
5248240053396878,QkeWxefGm,7825912715,小野的瓜田,我是没想到这个词条挂了一天rs，就差让田栩宁一月一个孩子了，真的好无语。来看看官方红星新闻帮田栩宁辟谣：这张田栩宁抱娃照片别再传了#田栩宁孩子##红星新闻为田栩宁辟谣#,,,,"田栩宁 孩子,红星新闻为田栩宁辟谣",39,103,1909,2025-12-26 23:03,田栩宁超话,,"http://f.video.weibocdn.com/o0/vMzM5uAdlx08u3LVK1MI01041200lDnb0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826060&ssig=EXDy%2Fvo51F&KID=unistore,video",,,金V,超级会员,2
5245614273332394,Qj8DpdYUi,1642512402,中国新闻周刊,#陈楚生新闻周刊封面人物#从2007年“快乐男声”冠军，到《披荆斩棘第三季》年度总冠军和《歌手2025》歌王，27岁到45岁，@陈楚生完成了一场音乐生涯的“三连冠”。回忆起经历过的过山车般的高潮和低谷，他对@中国新闻周刊说，如今他更加享受舞台，专注于呈现属于创作者本真生命经验的表达。在@陈楚生看来，真正的加冕，从来不是来自外界的称号，而是内心与音乐之间，那场永不终止的对话。得到“歌王”的称号，只是用实力证明时间没有辜负坚持，而音乐的路还长，内心的对话也从未停止。就像他在今年发布的新歌《获奖之作》里唱的：“这一场，用全力投身的演出，精彩或平淡，都朝各位鞠躬……”#2025封面人物#,,,"陈楚生,中国新闻周刊","陈楚生新闻周刊封面人物,2025封面人物",8956,4465,32732,2025-12-19 17:09,微博网页版,https://wx2.sinaimg.cn/large/001N9Ovwly1i8gbl03cfbj611b1je77e02.jpg,,,,普通用户,超级会员,2
5244589432897808,QiHYrc9QQ,5030085848,G_B-Milkwithtea,虞书欣荣获2025泰国头条新闻年度风云人物——年度最受泰国人喜欢中国明星奖🏆走红毯的高妹冷脸好美～上台领奖发言也好美～看的我心情好美～这身鎏金太漂亮了[舔屏谢谢大家支持双轨，支持中国电视剧,,,,,13,24,799,2025-12-16 21:17,少来教育我Android,,"http://f.video.weibocdn.com/o0/Yz3fYBYHlx08tNHvxVZS01041200EgLh0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826060&ssig=DMOJ6lSRh7&KID=unistore,video",,,金V,超级会员,2
5245593506025218,Qj85UphqW,1670606705,熊小猫儿,#陈楚生获2025年度影响力歌手#2025中国新闻周刊封面人物，影响力歌手：歌手、唱作人陈楚生，从颁奖到领奖再到最后离场的全程来啦～恭喜@陈楚生，实至名归！哥哥好优雅，领奖感言总是这么言之有物L熊小猫儿的微博视频,,,陈楚生,陈楚生获2025年度影响力歌手,199,203,1848,2025-12-19 15:46,陈楚生超话,,"http://f.video.weibocdn.com/o0/gTXAvjKqlx08tS7LYDQs01041204q8aD0E020.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826060&ssig=SqbQR04zQV&KID=unistore,video",,,红V,超级会员,2
5245589903639824,Qj806fgSQ,7762634433,时差星球,#陈楚生获2025年度影响力歌手#2025年《中国新闻周刊》封面人物典礼，陈楚生获得【年度影响力歌手】全景直拍中国新闻周刊社长颁奖#陈楚生#ccs#陈楚生直播#L时差星球的微博视频,,,,"陈楚生获2025年度影响力歌手,陈楚生,陈楚生直播",396,479,3401,2025-12-19 15:32,陈楚生超话,,"http://f.video.weibocdn.com/o0/Gw2Hqyv7lx08tS6R0cwo010412039o770E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826060&ssig=USO1zBvQep&KID=unistore,video",,,金V,超级会员,2
5247869865169866,Qk5jslGUW,7968596006,KPOP后妈茶话会-韩娱扯头花,📢境萌花新闻图vs站姐图,,,,,11,57,450,2025-12-25 22:32,,https://wx4.sinaimg.cn/large/008HhpQ2gy1i8nin35dfij30sf0sen9r.jpg,,,,红V,超级会员,2
5247030579429836,QjJtLDz88,7981537442,抵达恐惧终点,【啥意思】管管qq群就算了，现在连私人聊天都要管啊#明年起发淫秽信息违法#,,,,明年起发淫秽信息违法,46,73,2927,2025-12-23 14:57,,https://wx2.sinaimg.cn/large/008I9IuSgy1i8ku89pnngj30u01h07aw.jpg,,,,金V,超级会员,2
5247091355418774,QjL3NmJFA,1496814565,封面新闻,【#男子杀害7月大侄女一审被判死刑#精神鉴定具有“完全刑事责任能力”】#女儿遭大哥杀害男子将控告父母#12月23日，“惠州男子杀害7月大侄女案”受害女婴父亲冷先生告诉@封面新闻记者，杀害7个月大侄女的惠州男子冷某敏，因犯故意杀人罪、绑架罪，一审数罪并罚被判处死刑，剥夺政治权利终身，并处罚金二万元。冷先生表示，大哥冷某敏手段极其残忍，“判处死刑，死有余辜”，目前不知道对方是否会上诉。“但我们要继续控告我父母和大姐。”冷先生认为，冷某敏杀人动机和其他家人有关，此前了解到大哥和父亲、姐姐一起炒股，没有赚到钱，似乎对家人心存埋怨。冷某敏此前提出进行精神鉴定，向法院提交自己作案时处于发病期间，显著削弱了其辨认和控制能力的辩护意见。判决书显示，法院不予采纳，此外，冷某敏虽如实供述犯罪事实，但犯罪动机极其卑劣，犯罪情节、社会影响特别恶劣，不足以对被告人从轻处罚，法院对辩护人提出对被告人从轻处罚的意见不予采纳。O网页链接L封面新闻的微博视频,,,封面新闻,"男子杀害7月大侄女一审被判死刑,女儿遭大哥杀害男子将控告父母",32,18,118,2025-12-23 18:58,微博视频号,,"http://f.video.weibocdn.com/o0/WnlPWQV2lx08tYIvPHDa01041200jhWv0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826078&ssig=ToodQJmWlx&KID=unistore,video",,,普通用户,超级会员,4
5248098010140697,Qkbfr0ABj,7584879071,Yuhamissme,这是新闻图？确定不是饭拍吗🙀,,,,,75,6,476,2025-12-26 13:38,ᥥ ᥥ哈懵iPhone客户端,"https://wx4.sinaimg.cn/large/008hjnxdgy1i8o8s30dt2j30xc1e0n0l.jpg,https://wx3.sinaimg.cn/large/008hjnxdgy1i8o8s3g9scj30xc19h10t.jpg,https://wx4.sinaimg.cn/large/008hjnxdgy1i8o8s3w3kmj30xc1j50z6.jpg,https://wx1.sinaimg.cn/large/008hjnxdgy1i8o8s47q8mj30fa0leabk.jpg,https://wx4.sinaimg.cn/large/008hjnxdgy1i8o8s4lwb5j30zk1hcdpn.jpg,https://wx3.sinaimg.cn/large/008hjnxdgy1i8o8s1typfj30zk1hcak9.jpg,https://wx1.sinaimg.cn/large/008hjnxdgy1i8o8s5g0pcj30zk1hcdq1.jpg,https://wx2.sinaimg.cn/large/008hjnxdgy1i8o8u6d75yj30zk1hcn6m.jpg,https://wx3.sinaimg.cn/large/008hjnxdgy1i8o8u5ybkvj30zk1hc7dh.jpg",,,,金V,超级会员,1
5247742118201502,Qk1ZpypAi,6966112851,申有娜YUNA_Channe1,申有娜超话💓#申有娜夏日维他命#💗#sbs红毯#【251225】更新有娜相关新闻图SBS歌谣大战红毯清纯满分【📷个人ins：igotyuandme】【✨个人频道：유난히빛이나YUNA】🚨招新公告微博正文🎂生日应援：微博正文💗TV直拍封面：微博正文,,,,"申有娜夏日维他命,sbs红毯",74,2,298,2025-12-25 14:04,申有娜超话,"https://wx3.sinaimg.cn/large/007Br6aTly1i8n3yqfmv8j30jg0r4dlr.jpg,https://wx3.sinaimg.cn/large/007Br6aTly1i8n3yr06w0j30m80v47bf.jpg,https://wx2.sinaimg.cn/large/007Br6aTly1i8n3yrm6d7j30m80v5agf.jpg,https://wx4.sinaimg.cn/large/007Br6aTly1i8n3ysocjoj30xc1e8dvc.jpg,https://wx2.sinaimg.cn/large/007Br6aTly1i8n3yt9hs3j30xc1e3n3p.jpg,https://wx2.sinaimg.cn/large/007Br6aTly1i8n3yulia4j30p00z0gu5.jpg,https://wx3.sinaimg.cn/large/007Br6aTly1i8n3ywg5xaj30v218pncy.jpg,https://wx1.sinaimg.cn/large/007Br6aTly1i8n3ypntmfj30wb18o4gu.jpg,https://wx2.sinaimg.cn/large/007Br6aTly1i8n3ywuazkj30k00t00wt.jpg",,,,金V,超级会员,2
5247755703550771,Qk2lkeTIv,2457081180,金玟庭_TeamWinter,#金玟庭#❄️#金冬天#『251225』SBS歌谣大战WINTER新闻图资源:鱼可——ฅ՞•ﻌ•՞ฅ——𐂯——ฅ՞•ﻌ•՞ฅ——📷属于金旼炡的ins小世界👩‍❤️‍💋‍👩旼咚和ice的互动日常❄️【旼炡个人IG：imwinter】🩵【BLUE切🍉】：微博正文💵【RichMan直拍】：微博正文🎂【2026𝗕𝗶𝗿𝘁𝗵𝗱𝗮𝘆𝗦𝘂𝗽𝗽𝗼𝗿𝘁】：微博正文💌【新粉安利手册】：微博正文🌟【冬队招新公告】：微博正文❤️【拉夫劳伦地广】：微博正文,,,,"金玟庭,金冬天",75,20,647,2025-12-25 14:58,金玟庭超话,"https://wx1.sinaimg.cn/large/9274155cgy1i8n5hr6yg1j20zk1hc48f.jpg,https://wx2.sinaimg.cn/large/9274155cgy1i8n5hr794gj20jg0t6di1.jpg,https://wx1.sinaimg.cn/large/9274155cgy1i8n6v2hpxlj20fa0ledh7.jpg,https://wx3.sinaimg.cn/large/9274155cgy1i8n6v27s11j20xc1irjyd.jpg,https://wx1.sinaimg.cn/large/9274155cgy1i8n6v23ypkj20i20tn76h.jpg,https://wx4.sinaimg.cn/large/9274155cgy1i8n7umdl4rj20rs1aijve.jpg",,,,金V,超级会员,2
5246583996416993,QjxRtqVlT,1199581807,态度岛,【郑州“发小入室抢劫杀害一家三口”案将开庭，嫌疑人父亲：就当没有这个儿子】#杀害一家三口案受害人崩溃发问#2025年7月，河南郑州中牟县梁先生的妻子、儿子、女儿一家三口遭人杀害，梁先生的发小崔某某被警方抓获。2025年12月20日，30岁的梁先生向封面新闻记者表示，这一案件将于12月23日在郑州市中级人民法院开庭一审，检察机关以抢劫罪对崔某某提起公诉。12月20日，梁先生向记者表示，他至今难以想通，崔某某为何要伤害他的家人。“我和他在老家村里是邻居，从小一起长大，还在2017年至2021年共同北漂5年。”梁先生说，到案发前，他和崔某某都是关系要好的发小，他曾在创业上给崔某某帮助，请他吃饭，还借钱给他。据梁先生回忆，案发前，他曾在给妻子购买小金饰时被崔某某看到。7月23日，他曾要求崔某某归还部分借款，两人的聊天记录显示，崔某某说：“我也是刚给窟窿补住，攒不住钱。”记者从当地官方人士处了解到，案发前，崔某某欠有外债。案发后，梁先生了解到，崔某某在作案前已偷偷配了梁先生家的钥匙，7月26日凌晨，崔某某戴了口罩、帽子和手套入室作案，疑在寻找黄金首饰等财物时被梁先生的妻子发现，梁先生的妻子、孩子被杀害，家中的部分财物被崔某某带走。梁先生的代理律师欧阳一鹏向记者表示，鉴于本案涉及未成年人且尚未开庭审理，为保护司法程序公正及未成年人合法权益，现阶段无法过多披露案件细节。被告人崔某某的父亲向记者表示，案发至今，他对梁先生一家歉意颇深。为了致歉，他出资请人参与了3名遇害者的丧事。他表示，崔某某毁了好几个家庭，“我真的很气愤，就当没这个儿子。”#杀害一家三口案嫌疑人父亲很气愤#L态度岛的微博视频,,,,"杀害一家三口案受害人崩溃发问,杀害一家三口案嫌疑人父亲很气愤",11,1,106,2025-12-22 09:22,微博视频号,,"http://f.video.weibocdn.com/o0/p1W0V148lx08tWtYtV4k010412009X9t0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826078&ssig=yaMBoL6uy8&KID=unistore,video",,,金V,超级会员,2
5247730701045474,Qk1H04nYu,7960685262,IAN_Whiteblossom,郑伊安IAN超话🫛#豌豆公主ian#🫛#ian心颜一#【251225】SBS歌谣大战新闻图状态满分美貌满分🛍️2026台历后续【微博正文】🔗幸运卡代Go合集【微博正文】🆚动物总选大赛·动物塑PK【微博正文】📕入坑科普【微博正文】🪧招新公告【微博正文】📷直拍汇总【微博正文】🧭安利指南【微博正文】,,,,"豌豆公主ian,ian心颜一",5,2,74,2025-12-25 13:19,郑伊安IAN超话,"https://wx4.sinaimg.cn/large/008GKdTogy1i8n2necz7cj30jg0t6wi2.jpg,https://wx2.sinaimg.cn/large/008GKdTogy1i8n2ner2wuj30rs15ojyb.jpg,https://wx2.sinaimg.cn/large/008GKdTogy1i8n2nff6l9j30fa0legnd.jpg,https://wx3.sinaimg.cn/large/008GKdTogy1i8n2ng6lrgj30ks0t4770.jpg,https://wx1.sinaimg.cn/large/008GKdTogy1i8n2nfv95gj30kt0t4q5u.jpg,https://wx3.sinaimg.cn/large/008GKdTogy1i8n2ngklsjj30o910ejuw.jpg,https://wx2.sinaimg.cn/large/008GKdTogy1i8n2nh0hkgj30hy09umyz.jpg,https://wx2.sinaimg.cn/large/008GKdTogy1i8n2ndymb3j30hz0bywfm.jpg,https://wx4.sinaimg.cn/large/008GKdTogy1i8n2nhe63wj30hz0avwft.jpg",,,,红V,超级会员,1
