id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id,ip,user_authentication,会员类型,会员等级
5246221427935146,QjoqGxiie,1699432410,新华社,#起底日本网络水军幕后黑手##日网络水军发条视频最少2000日元#【起底日本网络“水军”：发条视频最少2000日元】#日本网络水军鼓吹右翼观点煽动对华仇恨#近日，日本大型众包平台CrowdWorks被曝长期发布网络招募信息，付费征集“批评中国”等内容的短视频。随着更多事实被揭露，一条操弄网络舆论的外包链条逐渐浮出水面——从散布仇恨言论到为右翼政治人物造势。日本网民质疑，在日本网络上浓重的保守派言论氛围背后，存在政治势力图谋操纵网络舆论的黑手。详戳→O网页链接,,,,"起底日本网络水军幕后黑手,日网络水军发条视频最少2000日元,日本网络水军鼓吹右翼观点煽动对华仇恨",538,342,3258,2025-12-21 09:22,微博网页版,"https://wx2.sinaimg.cn/large/001R0E0aly1i8i9b8pbxfj60u00q20w102.jpg,https://wx3.sinaimg.cn/large/001R0E0aly1i8i9b8oqrvj60my0h7gnf02.jpg,https://wx2.sinaimg.cn/large/001R0E0aly1i8i9b8p0t2j60u00kpdi202.jpg",,,,普通用户,超级会员,4
5246650555830140,QjzAPosGw,7332652598,甜椒泡泡,舆论走向这样的极端，很大程度上在于那个“有监控又不能回放的视频”这样类似关键过程的实际证据迟迟不披露……大家看图吧，这样的舆论很不正确！以后对于危重病人，医生们可能都不敢动手术了，让病人转院或回家！#洛熙妈妈发小洛熙生前视频#,,,,洛熙妈妈发小洛熙生前视频,3,244,591,2025-12-22 13:47,,"https://wx4.sinaimg.cn/large/0080f3Uigy1i8jmi5495oj30zk1fxgwj.jpg,https://wx3.sinaimg.cn/large/0080f3Uigy1i8jmi5jau1j30zk1xe49t.jpg",,,,红V,超级会员,1
5247671486909154,Qk09usZnY,1784473157,中国新闻网,【#陈芋汐说希望舆论对我们好一点#】#陈芋汐希望所有运动员能被正确看待#陈芋汐@陈乐乐Diving谈网络暴力：我和@全红婵都处在舆论的漩涡中，我们的关系不是这些言论可以左右的，也希望所有运动员都能被正确看待，不要用谣言诋毁运动员的努力和付出。L中国新闻网的微博视频,,,"陈乐乐Diving,全红婵","陈芋汐说希望舆论对我们好一点,陈芋汐希望所有运动员能被正确看待",12,27,113,2025-12-25 09:24,微博视频号,,"http://f.video.weibocdn.com/o0/qTDXv9otlx08u1gMQk5G010412008B2Y0E010.mp4?label=mp4_720p&template=576x1024.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826065&ssig=1tes9jOkep&KID=unistore,video",,,普通用户,超级会员,2
5246295919034983,QjqmPBUpx,2036161077,马上谈,夸日本好、骂中国的视频发一条2000~4000日元。水军这套打法，台湾也是学习日本，算是日杂核心技艺了日本诋毁摸黑中国的举措一般分国内、国际和中国国内三部分：一是在日本国内一众媒体整天诋毁摸黑中国，头条新闻多是中国和中国人的负面新闻，让普通日本民众保持对中国和中国人的厌恶，激发他们对中国的仇视；二是在国际上靠外务省撒币行为收买一些政客、媒体和组织。这种行为已被媒体屡屡曝光，但因为日本是西方媒体（甚至国内部分）的大金主，所以基本没啥声响。三是在中国国内则是靠邀请访问、付费写文章，收面甚至攻陷媒体人的方式，比如日本主动抛出的过期名单，再比如光报间谍董郁玉等等。日本媒体虽然在国际传播上被西方媒体压制，但整体是有一套打法的，他们不但成功营造了日本良好形象，还成功摸黑了中国形象。中国如果想要改善国际形象，也不能在国际舆论场上一直处在被动挨打的局面。怎么解决这个问题？还是得坚持解放思想，实事求是。#起底日本网络水军幕后黑手##日网络水军发条视频最少2000日元##日本网络水军鼓吹右翼观点煽动对华仇恨#L马上谈的微博视频,,,,"起底日本网络水军幕后黑手,日网络水军发条视频最少2000日元,日本网络水军鼓吹右翼观点煽动对华仇恨",109,54,614,2025-12-21 14:18,微博视频号,,"http://f.video.weibocdn.com/o0/UnzW0CB6lx08tVbarYFy010412002bqk0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826065&ssig=zYSobWel%2F4&KID=unistore,video",,,金V,超级会员,3
5246993295477351,QjIvDmYUn,1874361623,韩东言,好几千字的判决书。舆论就断章取义出九个字。,,,,,18,87,176,2025-12-23 12:29,华为 Mate X6,https://wx3.sinaimg.cn/large/6fb87d17ly1i8kpyd0o02j209n7ps1db.jpg,,,,金V,超级会员,2
5246240241746375,QjoV27kjl,2803301701,人民日报,#起底日本右翼舆论网络制造机#【起底日本网络“水军”：发条视频最少2000日元】#日本网站招募水军批评中国#近日，日本大型众包平台CrowdWorks被曝长期发布网络招募信息，付费征集“批评中国”等内容的短视频。随着更多事实被揭露，一条操弄网络舆论的外包链条逐渐浮出水面——从散布仇恨言论到为右翼政治人物造势。日本网民质疑，在日本网络上浓重的保守派言论氛围背后，存在政治势力图谋操纵网络舆论的黑手。（新华社）O起底日本网络“水军”：发条视频最少2000日元,,,,"起底日本右翼舆论网络制造机,日本网站招募水军批评中国",234,327,736,2025-12-21 10:36,微博 weibo.com,,,,,普通用户,超级会员,3
5244967952061445,QiROX8Eh7,7269002208,梦与声,林志颖老婆陈若仪遭十年舆论攻击不是因为她长的丑，有龅牙，而是她一开始就没有底气硬刚。她只是普通家庭出身的小模特，却嫁进有豪门背景、林志颖身为“全民偶像”的家庭，其实粉丝就是接受不了自己的偶像娶了个“普通人”。更糟的是婆家不待见她，自家也没那个实力支持她，婆婆还老刁难，稍有不满就甩脸色看，在外诉苦，回家还得笑脸相迎。跟粉丝吵，怕影响林志颖的事业；跟婆婆闹，怕家庭散了，就这么挨了十年的骂L梦与声的微博视频,,,,,39,26,354,2025-12-17 22:21,微博视频号,,"http://f.video.weibocdn.com/o0/rZGR3RXtlx08tPn2PHeU01041200yjZX0E010.mp4?label=mp4_720p&template=960x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826065&ssig=CcAkfCyoO3&KID=unistore,video",,,金V,超级会员,2
5245185653212531,QiXu5dtJ1,8011423070,神券也曾膨胀o_o,鞠婧祎目前的手段就是打一些舆论战，比如说22年少椰子水，曾艳芬说公司存在让成员陪酒等行为。目前没有什么实质性的证据，但是丝芭公司提供的都是实际证据，如向鞠婧祎提供了1.4亿的工资，每月25万的月薪。互联网不是法外之地，再这么肆意抹黑前公司只会受到制裁！我劝鞠婧祎还是好好和丝芭协商一下，不然等丝芭向公安机关举报的时候就为时已晚了！饮水思源，做个感恩的人才好！#丝芭鞠婧祎热搜见不如法庭见#,,,,丝芭鞠婧祎热搜见不如法庭见,2,132,506,2025-12-18 12:46,联想moto g75,,"http://f.video.weibocdn.com/u0/P543xSougx08tQkrIMso01041200ucA10E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826065&ssig=t%2FTBbFpF%2Fd&KID=unistore,video",,,红V,超级会员,1
5244053090205956,Qiu1n0RzS,2540082302,菜菜要隐身,#乒协呼吁营造理性温暖的舆论环境#噢？舆论？舆论不就是你们一封邮件的事情吗请不要向真正手无寸铁的普通大众喊冤好吗？也别学娱乐圈那一套，他们也没你们有特👊～,,,,乒协呼吁营造理性温暖的舆论环境,20,15,123,2025-12-15 09:45,捡瓶子赚的iPhone 17 Pro,https://wx2.sinaimg.cn/large/9766947egy1i8bc8v56b9j20xb2bndp7.jpg,,,,红V,超级会员,1
5246634738583960,QjzbjA14Y,1893892941,北京日报,【#2000日元一条黑中国#】#日本想砸钱操纵舆论别做梦了#要突出“日本技术、日本文化、日语的优秀之处”，展示所谓“中国人的扰民行为和不文明举动”等，每条视频报酬为2000至4000日元……近日，新华社重磅起底，日本大型众包平台CrowdWorks长期发布网络招募信息，付费征集抹黑中国等内容的短视频。数十年来，在国内政治右倾化加剧的背景下，日本频频发动“舆论战”“认知战”，一边自吹自擂涂脂抹粉，一边以虚假信息为工具遏制打压他国。特别是针对中国，已经形成了一套输出体系——颠倒黑白，疯狂洗脑；佯装受害，倒打一耙；扶植“精日”，暗度陈仓……这些套路世人早已看得清清楚楚了。（@北京日报记者郭晴关末）L北京日报的微博视频,,,北京日报,"2000日元一条黑中国,日本想砸钱操纵舆论别做梦了",37,28,195,2025-12-22 12:44,微博视频号,,"http://f.video.weibocdn.com/o0/xzNpFGzBlx08tWHSKXlK01041200yILC0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1766826065&ssig=o5Asvk0IOQ&KID=unistore,video",,,普通用户,超级会员,4
